Karrierestufe,Pfad,Bereich,Thema,Inhalte,Ziel
Junior,td Allgemein,📊 Analyse,Ganzheitlicher Funnel & CX,"Analyse von Funnels & Customer Experience zur Ableitung von Handlungsempfehlungen. Erfahrung mit Analyse-Tools & Ads Managern.",Handlungsempfehlungen für Website & Funnel geben.
Junior,td Allgemein,💡 Strategie,Multichannel Basics,"Kanalübergreifende Analyse von Marketingmaßnahmen (Paid, Owned & Earned Media). Verständnis für Creative-Strategie.",Synergien zwischen Kanälen verstehen & bewerten.
Professional,td Allgemein,💼 Business,Digitales Geschäftsmodell,"Strategisches Businessverständnis über Marketing hinaus (z.B. CLV). Grundverständnis von Attribution & Tracking.",Den Business-Hebel des Kunden identifizieren.
Professional,td Allgemein,🗣️ Kommunikation,How to Persuade & Communicate,"Wertschätzende und konstruktive Kommunikation auf Augenhöhe. Vermittlung strategischer Visionen.",Strategien sicher beim Kunden präsentieren.
Specialist,Expert/ Digitalstratege,🎯 Lead Gen,Lead Gen Deep Dive,"Tiefgreifende Analyse von KPIs, Challenging von Maßnahmen. Dashboards & kundenspezifische Reportings & Standards.",Lead-Strategien kritisch hinterfragen & optimieren.
Specialist,Expert/ Digitalstratege,🛒 ECom,ECom Deep Dive,"Definition realistischer & wachstumsorientierter KPI-Ziele. Datenbasierte Skalierung & Forecast-Erstellung.",Profitables Wachstum im E-Commerce steuern.
Specialist,Expert/ Digitalstratege,👥 Recruiting,Recruiting Deep Dive,"Ableitung hypothesenbasierter kanalübergreifender Strategien, Testing & Experimentation für Personal-Needs.",Erfolgreiche Recruiting-Funnels strategisch aufbauen.
Specialist,Expert/ Digitalstratege,🩵 Brand,Brand Awareness Deep Dive,"Ganzheitliches Marketingverständnis & kanalübergreifende Markenführung. Strategieentwicklung & Marken-KPIs.",Brand-Kampagnen in die Gesamtstrategie integrieren.
Specialist,Expert/ Digitalstratege,🌱 Organic,Organic & Advanced Boosting,"Tiefgreifende Analyse von organischen Maßnahmen. Zusammenspiel von Content-Strategie & Performance-Impact.",Organische Kanäle als Skalierungs-Hebel nutzen.
Specialist,Expert/ Digitalstratege,🔄 Methodik,Agile Strategieentwicklung,"Methodenkenntnis in agiler Strategieentwicklung. Integration aktueller Technologien & Trends (z.B. AI).",Strategien flexibel und datenbasiert anpassen.
Specialist,Expert/ Digitalstratege,🔭 Markt,How to Zoom Out (Audit),"Blick nach außen: Markt- & Wettbewerbsanalyse, Trendanalyse. Strategische Analyse & Weiterentwicklung.",Marktchancen erkennen & Wettbewerber challengen.
Senior,Expert/ Digitalstratege,🏛️ Consulting,Business Strategy 2.0,"Weiterentwicklung von Geschäftsmodellen im Kontext unserer Dienstleistungen. Übergeordnete Information Accountability.",td als transformativen Business-Partner positionieren.
Senior,Expert/ Digitalstratege,📈 Growth,Strategische Skalierung (Forecast),"Datenbasierte Skalierung & Forecast-Erstellung für Strategiemeetings (bspw. High-Level Budgetplanung).",Langfristige Wachstums-Roadmaps für Key Accounts bauen.
